index;Regon;Typ;Nazwa;Województwo;Powiat;Gmina;Kod Pocztowy;Miasto;Ulica;Informacja u usniętym wpisie
2155;365197356;F;Concept Si TOMASZ SARNIAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15a lok. 6;----------------
2156;366749088;F;ZYGZAK Studio Grafiki Grzegorz Ambroży;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 1 lok. 25;----------------
2157;367725546;F;MARTA RYMSZA-SZYDŁO;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 14;----------------
2158;369185918;P;JELLYFISH STUDIO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 1 lok. 30;----------------
2159;369636841;P;SANDWICZ SZOP DYSTRYBUCJA KULESZA SPÓŁKA JAWNA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 14;----------------
2160;380927426;F;ANNA MATYJASEK-DATA PROJEKTOWANIE WNĘTRZ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 5 lok. 3;----------------
2161;381610720;P;AGENCJA PRACY WORK IN POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 14;----------------
2162;382824883;F;AKP OLGA SWORNOWSKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 1 lok. 28;----------------
2163;38359866700015;LF;POLI AND TIMKI JEWELLERY KAROLINA STYRENCZAK-ZABŁOCKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 1 lok. 31;----------------
2164;383734426;F;Tomasz Filipek HM house;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 7 lok. 1;----------------
2165;384236179;F;LeanDo Patryk Szatkowski;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 7 lok. 4;----------------
2166;38432081000019;LF;PHU MI-BIS LESZEK LINKE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 13;----------------
2167;385820710;P;ROMA BUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 5 lok. 8;----------------
2168;385842841;P;ROMA BUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 5 lok. 8;----------------
2169;385919348;P;AGENCJA PRACY EWORK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 14;----------------
2170;386392682;F;PRIMA SORT MARCIN DULAT;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 9 lok. 9;----------------
2171;387137710;F;PIOTR KARWOWSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 1 lok. 2;----------------
2172;387419147;F;Anna Pentidis;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 9 lok. 4;----------------
2173;387844962;F;"Gabinet psychologiczny ""Mimo wszystko..."" Martyna Wielochowska";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 3 lok. 1;----------------
2174;388076710;F;PCS PRZEMYSŁAW KOŁOMAŃSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15 lok. 16;----------------
2175;391044767;F;FABRYKA MIESZKAŃ MONIKA KORMAN;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15 lok. 5;----------------
2176;932628777;F;VELOMA Maciej Wojciechowski;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 11;----------------
2177;930112147;F;HANA-POL LEWANDOWSKA-ŚCIUBISZ HANNA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 19;wpis wykreślony
2178;021781981;F;Pi Arkadiusz Ciaciek;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 1 lok. 21;wpis wykreślony
2179;022251802;F;ANNA ZYŚKO;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 10;wpis wykreślony
2180;022168343;F;COFFEE BAY 24 ŁUKASZ GIŻEWSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 5 lok. 9;wpis wykreślony
2181;367479277;F;Joanna Gawlik CELNY STRZAŁ fotografia produktowa, teksty pisane;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15 lok. 15;wpis wykreślony
2182;38085175200016;LF;KANCELARIA ADWOKACKA AGNIESZKA KŁOCZANIUK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 5 lok. 4;wpis wykreślony
2183;41004698000024;LF;P.H.U. MI-BIS IRENEUSZ MICHALAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 13;wpis wykreślony
2184;384765185;P;RIGDOM MARZENA ŁYPACZEWSKA, MAŁGORZATA REGULSKA S.C.;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-235;Wrocław;ul. Asfaltowa 15A lok. 12;wpis wykreślony
2185;017213062;F;Time to learn Elżbieta Pióro;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 2F;----------------
2186;020244399;F;TRINAKRIA Domenico Marchese;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-024;Wrocław;ul. Babiego Lata 17B lok. 3E;----------------
2187;020416529;F;MOON Szymon Kosydor;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9A lok. 4B;----------------
2188;020455452;F;Mariusz Chodor;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9b lok. 5a;----------------
2189;020757466;F;WOJCIECH KOWALSKI K&K SOLUTIONS;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17B lok. 1A;----------------
2190;020877041;F;MULTIOFFICE DANIEL KWIESZCZUK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 15B/3A;----------------
2191;020919970;P;WSPÓLNOTA MIESZKANIOWA UL.KARPACKA 1;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2192;020964805;P;WSPÓLNOTA MIESZKANIOWA GORLICKA 65, 67, 69, 71, 73;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2193;020983889;F;Cloudtech Adrian Ciura;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 19 lok. 2B;----------------
2194;021136080;P;"WSPÓLNOTA MIESZKANIOWA ""REZYDENCJA PARKOWA RYBNICKA 16"" WROCŁAW";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2195;021219512;F;ADAM SZAFERT KAAD;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 4B;----------------
2196;021293158;F;AGNIESZKA MARTYNIUK-KWIESZCZUK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 15B lok. 3A;----------------
2197;021333797;P;"WSPÓLNOTA MIESZKANIOWA ""SZKOLNA 5""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2198;021338317;P;"WSPÓLNOTA MIESZKANIOWA ""KUKUCZKI 9-11""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2199;02135280800024;LF;JOLANTA WALĘGA CENTRUM EDUKACJI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11 lok. 5B;----------------
2200;021380549;F;Chocobath Damian Günther;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11B lok. 1B;----------------
2201;021854409;F;TOMASZ BLINDA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 5I;----------------
2202;021888845;P;"WSPÓLNOTA MIESZKANIOWA ""APARTAMENTY MIŃSKA""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2203;021929107;F;Szymon Dąbrowski COLFOR;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17B lok. 3A;----------------
2204;021998580;F;OPT Rafał Szymański;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9A lok. 4A;----------------
2205;022031236;F;Praktyka Lekarza Rodzinnego Małgorzata Walkowiak;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 4F;----------------
2206;022032000;F;PRAKTYKA LEKARZA RODZINNEGO MONIKA WALKOWIAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 3E;----------------
2207;022033896;P;"WSPÓLNOTA MIESZKANIOWA ""ORNAMENTO""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2208;022088638;F;Michał Kubiak;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 13B lok. 3A;----------------
2209;022100150;F;Przedsiębiorstwo Handlowo Usługowe HU Dominik Przywara;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9B lok. 1G;----------------
2210;022108772;F;SPEC-DOOR KRZYSZTOF DAŃSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17B lok. 4A;----------------
2211;022192005;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 3""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2212;022325819;F;Praktyka Lekarsko-Dentystyczna Karina Budziejko;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 22 lok. 2;----------------
2213;022359356;F;DARMABUD DARIUSZ LIPSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 15 lok. 1D;----------------
2214;022365368;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 5""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2215;022369372;P;"WSPÓLNOTA MIESZKANIOWA ""COLORE""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2216;022372233;P;AWAL FINANSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 14 lok. 2;----------------
2217;022466402;P;"WSPÓLNOTA MIESZKANIOWA ""STANISŁAWOWSKA 50""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5 B;----------------
2218;022477050;F;FLOW BARTOSZ SUDÓŁ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9B lok. 4B;----------------
2219;101274140;F;GOSPODARSTWO ROLNE SEBASTIAN LIS;ŁÓDZKIE;wieruszowski;Bolesławiec;98-430 Bolesławiec;Chróścin 9;‑‑‑‑‑‑‑‑‑‑;----------------
2220;161449070;F;"Piotr Izbiński Usługi Budowlane ""BAKKERS""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 13b lok. 1d;----------------
2221;161474500;F;IT Process Piotr Czarnecki;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 19a lok. 5a;----------------
2222;161519243;F;APN Biuro tłumaczeń i korepetycji. Agnieszka Patulska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11B lok. 5B;----------------
2223;276719958;F;JAROSŁAW SKORUPA - USŁUGI INFORMATYCZNE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 19 lok. 2C;----------------
2224;301377430;F;B.Green Projektowanie Zieleni Magdalena Chrostowska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17A lok. 4A;----------------
2225;360427426;F;INDYWIDUALNA PRAKTYKA LEKARSKA MAGDALENA URBANIK-PISZCZEK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 4D;----------------
2226;360878318;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 9,11,13""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2227;361430057;F;Andrzej Kmiecik;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17b lok. 4e;----------------
2228;361500763;F;"USŁUGI SPECJALISTYCZNE ""EARLYBIRD"" Bogumił Dąbek";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9A lok. 1B;----------------
2229;361559727;F;PRAKTYKA LEKARSKA IWONA DACHOWSKA-KAŁWAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 10 lok. 3;----------------
2230;361566874;F;Piotr Diaków Indywidualna Praktyka Lekarska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17B lok. 3C;----------------
2231;361647650;F;KANCELARIA RADCY PRAWNEGO ANNA ULEWICZ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-030;Wrocław;ul. Babiego Lata 15B lok. 4B;----------------
2232;361982354;P;HEJHO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 5 I;----------------
2233;362180600;P;"WSPÓLNOTA MIESZKANIOWA ""SŁONECZNE PATIO""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5 B;----------------
2234;362316145;F;ŁUKASZ SIEDLECKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 5a;----------------
2235;362336082;P;"WSPÓLNOTA MIESZKANIOWA ""OWOCOWE STABŁOWICE""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5 B;----------------
2236;363207429;F;GONER Katarzyna Gonera;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 15A lok. 3B;----------------
2237;363578137;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 15,17""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2238;363995556;F;Przedsiębiorstwo Handlowo Usługowe Karolina Bagińska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9a lok. 1b;----------------
2239;364015301;F;THE FRAME Paweł Bartczyszyn;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11 lok. 2A;----------------
2240;364048170;P;WSPÓLNOTA MIESZKANIOWA CORTILE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2241;364466430;P;PANDA RAMEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 15A lok. 2C;----------------
2242;364528408;P;BESPOKECHAT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 13B lok. 2C;----------------
2243;364748481;P;"WSPÓLNOTA MIESZKANIOWA ""SŁONECZNY OŁTASZYN IV""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2244;364886600;F;MILMED GRZEGORZ MILEJSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 13 lok. 5A;----------------
2245;365132279;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 21""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5 B;----------------
2246;365276222;F;WOOD LABS JAN BANACH;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 5E;----------------
2247;365299068;P;"WSPÓLNOTA MIESZKANIOWA ""ZIELONY ZAUŁEK WOJSZYCE""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5 B;----------------
2248;365299128;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 19""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2249;365386494;P;"WSPÓLNOTA MIESZKANIOWA ""SCALINO 2""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2250;365415586;F;Kancelaria Adwokacka Maciej Siedlecki;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 10 lok. 4;----------------
2251;366270664;F;Doganica Michalina Futkowska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11b lok. 1d;----------------
2252;366431185;P;DOMICILIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2253;366549662;F;BOSSCAT - Magdalena Winosławska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 15A lok. 5B;----------------
2254;366727141;F;HRB Rafał Garbat;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9B lok. 4E;----------------
2255;366814644;P;PANDA SUSHI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 15a lok. 2c;----------------
2256;367038113;P;"WSPÓLNOTA MESZKANIOWA ""KUKUCZKI 7""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2257;367047750;P;"WSPÓLNOTA MIESZKANIOWA ""GORLICKA 24""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2258;367073902;F;Develop IT Sławomir Moriak;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11A lok. 4C;----------------
2259;367221484;F;DORADZTWO INFORMATYCZNE KRZYSZTOF FORNAL;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 13 lok. 2C;----------------
2260;367328756;P;WSPÓLNOTA MIESZKANIOWA UL.PIRENEJSKA 2ba,2bb,2bc,2bd,2be,2bf,2bg,2bh,2bj,2bk,2bm,2bn,2bp,2br,2bs,2bu WE WROCŁAWIU;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2261;367525965;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 6,8,10,12""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2262;367607806;F;BELLEZA PRACOWNIA PROJEKTOWA ANNA ŻURAKOWSKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 4 lok. 1;----------------
2263;367661852;P;"WSPÓLNOTA MIESZKANIOWA ""KAMIEŃSKIEGO 275, 277""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2264;367821184;F;Wojciech Ciołek;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-019;Wrocław;ul. Babiego Lata 9B lok. 5H;----------------
2265;367986040;F;Kancelaria Adwokacka Adwokat Patrycja Siedlecka;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 10 lok. 4;----------------
2266;367997842;P;"WSPÓLNOTA MIESZKANIOWA ""OGRODOWA SMOLEC""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2267;368488692;F;Top-Hunts Filip Sioch;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 4H;----------------
2268;368926784;F;Prywatna praktyka lekarska Maciej Bladowski;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 13 lok. 3b;----------------
2269;369231073;F;BTL SOFTWARE BARTŁOMIEJ LECHOWSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17B lok. 5E;----------------
2270;369327442;P;"WSPÓLNOTA MIESZKANIOWA ""ŻMUDZKA 25-35""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5 B;----------------
2271;369772426;F;AKAS Andrzej Kiełbasa;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 4D;----------------
2272;369901065;F;EUROPEAN PRESTIGE FINANCIAL TOMASZ JEDYNAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11 lok. 3A;----------------
2273;369943879;P;"WSPÓLNOTA MIESZKANIOWA ""WOJACZKA 1""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2274;380219103;F;PRAKTYKA LEKARSKA KATARZYNA SZMIGIEL;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 19 lok. 1c;----------------
2275;380483751;F;ADAM KOSAKOWSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 14 lok. 1;----------------
2276;380518308;P;TOJA-TEAM S.C.;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 5i;----------------
2277;381119310;F;PAWEŁ GAWLAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 12;----------------
2278;381157580;F;AGATA SZYLAR;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 13A lok. 3D;----------------
2279;381220858;F;Dutch Source Agnieszka Idzik;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11B lok. 4D;----------------
2280;381306637;P;"WSPÓLNOTA MIESZKANIOWA ""VICOLO""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2281;381357110;F;Trener Personalny Kamil Godlewski;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 11 lok. 4A;----------------
2282;382012085;F;Good Vibes Joanna Jastrzębska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9 lok. 2i;----------------
2283;382159457;F;BARKAS PPHU BARTŁOMIEJ KENIO;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9A lok. 2A;----------------
2284;383062197;P;WSPÓLNOTA MIESZKANIOWA LONTANO;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 17 lok. 5B;----------------
2285;383283550;P;FUNDACJA SŁONKO;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 14 lok. 2;----------------
2286;383307434;F;DEVSTAND Bartosz Stroński;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-020;Wrocław;ul. Babiego Lata 9B lok. 1D;----------------
